table_name,field_name,language,translation
stops,stop_name,ja-Hrkt,かすがちょ
stops,stop_name,ja-Hrkt,かみおおす
stops,stop_name,ja-Hrkt,ねじょうし
stops,stop_name,ja-Hrkt,たてごし
stops,stop_name,ja-Hrkt,あらまち
stops,stop_name,ja-Hrkt,さくらぎち
stops,stop_name,ja-Hrkt,さめ
stops,stop_name,ja-Hrkt,しちょうま
stops,stop_name,ja-Hrkt,うばふとこ
stops,stop_name,ja-Hrkt,かみおおく
stops,stop_name,ja-Hrkt,さめちゅう
stops,stop_name,ja-Hrkt,こどものと
stops,stop_name,ja-Hrkt,たなか
stops,stop_name,ja-Hrkt,いっちゅう
stops,stop_name,ja-Hrkt,かなふきざ
stops,stop_name,ja-Hrkt,かねはま
stops,stop_name,ja-Hrkt,ひといちぐ
stops,stop_name,ja-Hrkt,みさきだい
stops,stop_name,ja-Hrkt,あおいだん
stops,stop_name,ja-Hrkt,しほんまつ
stops,stop_name,ja-Hrkt,だいいちて
stops,stop_name,ja-Hrkt,ぬまだてい
stops,stop_name,ja-Hrkt,まつだいら
stops,stop_name,ja-Hrkt,しだみ
stops,stop_name,ja-Hrkt,だいさんて
stops,stop_name,ja-Hrkt,にっせきい
stops,stop_name,ja-Hrkt,まきめ
stops,stop_name,ja-Hrkt,らぴあばす
stops,stop_name,ja-Hrkt,おおまちに
stops,stop_name,ja-Hrkt,なしのきた
stops,stop_name,ja-Hrkt,たねさしか
stops,stop_name,ja-Hrkt,しもくみち
stops,stop_name,ja-Hrkt,せいしょう
stops,stop_name,ja-Hrkt,にいだ
stops,stop_name,ja-Hrkt,ねじょう
stops,stop_name,ja-Hrkt,すいさんかがくかんまえ
stops,stop_name,ja-Hrkt,かなふきざ
stops,stop_name,ja-Hrkt,だいにてい
stops,stop_name,ja-Hrkt,ひがしがお
stops,stop_name,ja-Hrkt,めばえほい
stops,stop_name,ja-Hrkt,たねさしかいがんえき
stops,stop_name,ja-Hrkt,ちょうりつ
stops,stop_name,ja-Hrkt,やわた
stops,stop_name,ja-Hrkt,らぴあ
stops,stop_name,ja-Hrkt,さしなみ
stops,stop_name,ja-Hrkt,すなもり
stops,stop_name,ja-Hrkt,にしこざわ
stops,stop_name,ja-Hrkt,ようかまち
stops,stop_name,ja-Hrkt,かぶしまかいひんこうえん
stops,stop_name,ja-Hrkt,あかはた
stops,stop_name,ja-Hrkt,しゃけんと
stops,stop_name,ja-Hrkt,しりょうだ
stops,stop_name,ja-Hrkt,たがだいだ
stops,stop_name,ja-Hrkt,たねさしせ
stops,stop_name,ja-Hrkt,ひといち
stops,stop_name,ja-Hrkt,これかわだ
stops,stop_name,ja-Hrkt,さめほいく
stops,stop_name,ja-Hrkt,しりびき
stops,stop_name,ja-Hrkt,せいうるす
stops,stop_name,ja-Hrkt,にっとうぼ
stops,stop_name,ja-Hrkt,はちのへは
stops,stop_name,ja-Hrkt,こだうえ
stops,stop_name,ja-Hrkt,ひがしれい
stops,stop_name,ja-Hrkt,みやぎこう
stops,stop_name,ja-Hrkt,かりょくは
stops,stop_name,ja-Hrkt,たねさしし
stops,stop_name,ja-Hrkt,にいだだん
stops,stop_name,ja-Hrkt,たてごし
stops,stop_name,ja-Hrkt,はまなすが
stops,stop_name,ja-Hrkt,みしまうえ
