route_id,service_id,trip_id
02404122,1_平日,02404122_1_平日_07:19:00
02404122,1_平日,02404122_1_平日_07:36:00
02404122,1_平日,02404122_1_平日_12:29:00
02404122,1_平日,02404122_1_平日_13:59:00
02404122,1_平日,02404122_1_平日_14:59:00
02404122,1_平日,02404122_1_平日_15:59:00
02404122,1_平日,02404122_1_平日_18:09:00
02503311,1_平日,02503311_1_平日_06:44:00
0008053596,1_平日,0008053596_1_平日_06:30:00
062100389,1_平日,062100389_1_平日_07:12:00
02503311,1_平日,02503311_1_平日_07:08:00
0621055283,1_平日,0621055283_1_平日_07:42:00
02503311,1_平日,02503311_1_平日_07:21:00
0008053596,1_平日,0008053596_1_平日_07:07:00
02503311,1_平日,02503311_1_平日_08:15:00
0621000858,1_平日,0621000858_1_平日_08:49:00
02503311,1_平日,02503311_1_平日_09:07:00
0008053596,1_平日,0008053596_1_平日_08:53:00
0621000858,1_平日,0621000858_1_平日_09:40:00
02503311,1_平日,02503311_1_平日_10:09:00
0621000858,1_平日,0621000858_1_平日_10:41:00
02503311,1_平日,02503311_1_平日_11:09:00
062100389,1_平日,062100389_1_平日_11:41:00
02503311,1_平日,02503311_1_平日_13:09:00
0621080182,1_平日,0621080182_1_平日_13:39:00
02503311,1_平日,02503311_1_平日_14:09:00
0621000858,1_平日,0621000858_1_平日_14:39:00
02503311,1_平日,02503311_1_平日_15:09:00
062100389,1_平日,062100389_1_平日_15:39:00
02503311,1_平日,02503311_1_平日_16:06:00
062100389,1_平日,062100389_1_平日_16:36:00
02503311,1_平日,02503311_1_平日_17:08:00
062100389,1_平日,062100389_1_平日_17:41:00
02503311,1_平日,02503311_1_平日_18:06:00
02503311,1_平日,02503311_1_平日_19:08:00
062100389,1_平日,062100389_1_平日_19:38:00
02503322,1_平日,02503322_1_平日_06:33:00
0008062157,1_平日,0008062157_1_平日_06:19:00
02503322,1_平日,02503322_1_平日_07:38:00
0038062110,1_平日,0038062110_1_平日_07:29:00
02503322,1_平日,02503322_1_平日_09:39:00
0038062110,1_平日,0038062110_1_平日_09:30:00
02503322,1_平日,02503322_1_平日_10:39:00
0038062110,1_平日,0038062110_1_平日_10:30:00
02503322,1_平日,02503322_1_平日_12:39:00
0008062157,1_平日,0008062157_1_平日_12:25:00
02503322,1_平日,02503322_1_平日_13:39:00
0038062110,1_平日,0038062110_1_平日_13:30:00
02503322,1_平日,02503322_1_平日_14:39:00
0008062157,1_平日,0008062157_1_平日_14:25:00
02503322,1_平日,02503322_1_平日_15:36:00
02503322,1_平日,02503322_1_平日_16:36:00
0038062110,1_平日,0038062110_1_平日_16:26:00
02503322,1_平日,02503322_1_平日_17:06:00
0038062110,1_平日,0038062110_1_平日_16:56:00
0535000897,1_平日,0535000897_1_平日_17:34:00
02503322,1_平日,02503322_1_平日_17:34:00
0008062157,1_平日,0008062157_1_平日_17:20:00
02503322,1_平日,02503322_1_平日_18:38:00
